id_proposta;cpf_hash;data_proposta;cidade;uf;regiao;estado_civil;idade;profissao;canal_origem;tipo_imovel;renda_mensal;valor_imovel;valor_financiado;entrada;ltv;score_credito;atrasos_anteriores;divida_total;comprometimento_renda;possui_fgts;tempo_relacionamento_banco_meses;num_consultas_credito_90d;lead_score_marketing;aprovado_pre_analise;valor_parcela_estimado;prazo_meses;taxa_juros_anual;dias_ate_contato;qtd_interacoes_comercial;contratou;status_final;data_contratacao
PROP_000001;CPF_201414_00001;2025-07-14;Santos;SP;Sudeste;Solteiro;37;Empresário;Correspondente;Apartamento;3529.62;385634.28;316354.58;69279.7;0.8203;453;0;11346.11;0.1367;0;37;4;97;0;3023.44;420;11.24;0;8;0;Perdido - preço;
PROP_000002;CPF_765822_00002;2025-11-08;Recife;PE;Nordeste;Casado;37;Aposentado;Correspondente;Casa;12779.16;588574.49;393537.65;195036.84;0.6686;484;1;0;0.0009;0;3;1;78;0;3549.92;360;10.33;1;4;0;Perdido - preço;
PROP_000003;CPF_479580_00003;2025-07-24;Rio de Janeiro;RJ;Sudeste;Solteiro;35;Autônomo;Indicação;Casa;6605.22;377463.32;228765.11;148698.22;0.6061;823;0;17568.39;0.1119;0;29;5;52;1;2008.26;300;9.56;3;2;0;Desistiu;
PROP_000004;CPF_632323_00004;2025-11-24;Curitiba;PR;Sul;Solteiro;39;CLT;Campanha digital;Casa;13253.16;512023.7;365601.43;146422.28;0.714;446;0;156173.17;0.4918;1;14;0;86;0;4465.36;360;14.46;5;3;0;Em análise;
PROP_000005;CPF_781446_00005;2025-12-10;Interior BA;BA;Nordeste;Casado;62;Empresário;Correspondente;Apartamento;3837.39;171860.8;121985.58;49875.22;0.7098;535;0;6362.59;0.0701;0;123;0;40;0;1490.86;300;14.24;5;4;0;Sem retorno;
PROP_000006;CPF_522179_00006;2025-02-01;Recife;PE;Nordeste;Solteiro;40;Autônomo;Indicação;Apartamento;9118.08;165012.29;134605.3;30406.99;0.8157;671;1;19232.6;0.0883;0;69;1;82;1;1240.24;420;10.8;7;1;0;Perdido - preço;
PROP_000007;CPF_853305_00007;2025-12-05;Salvador;BA;Nordeste;Casado;33;CLT;Campanha digital;Apartamento;6567.54;380163.28;344265.47;35897.81;0.9056;500;3;859.34;0.0071;1;83;5;48;0;3185.4;420;10.85;6;3;0;Desistiu;
PROP_000008;CPF_378517_00008;2025-05-03;Manaus;AM;Norte;Casado;38;Autônomo;Campanha digital;Apartamento;4659.62;189115.16;138335.75;50779.41;0.7315;312;8;12154.08;0.1096;1;92;1;30;0;1498.44;420;12.85;3;2;0;Em análise;
PROP_000009;CPF_221035_00009;2025-03-10;Fortaleza;CE;Nordeste;Casado;62;CLT;Correspondente;Apartamento;4933.47;289512.07;224457.94;65054.13;0.7753;473;1;0;0.0014;1;24;2;45;0;2615.32;240;12.91;3;7;1;Contratado;2025-03-28
PROP_000010;CPF_423232_00010;2025-01-22;Santos;SP;Sudeste;União estável;41;Autônomo;Correspondente;Apartamento;6583.05;331229.34;204057.35;127171.99;0.6161;532;5;0;0.0009;0;34;0;95;0;2191.52;300;12.28;7;4;0;Perdido - crédito;
PROP_000011;CPF_517821_00011;2025-12-04;Recife;PE;Nordeste;União estável;39;Servidor público;Correspondente;Casa;33966.03;737145.35;412307.11;324838.24;0.5593;802;0;0;0.0004;1;86;5;65;1;3569.76;420;10.08;6;6;1;Contratado;2025-12-18
PROP_000012;CPF_631756_00012;2025-06-03;Salvador;BA;Nordeste;Solteiro;29;CLT;Campanha digital;Apartamento;3500.49;329929.32;212498.09;117431.23;0.6441;398;1;3496.35;0.0435;0;48;6;44;0;1804.05;420;9.86;4;3;0;Perdido - preço;
PROP_000013;CPF_805477_00013;2025-05-01;Florianópolis;SC;Sul;Casado;32;Autônomo;Campanha digital;Apartamento;6190.41;244143.81;192589.8;51554.01;0.7888;553;1;0;0.001;0;16;2;41;0;2036.95;300;12.06;1;4;0;Perdido - preço;
